date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-02-25,197.41,199.8,180.0,182.06,182.06,11269246.0,0.0,1.0
2021-02-24,190.98,208.145,189.0,200.2,200.2,5983538.0,0.0,1.0
2021-02-23,189.0,191.67,175.0,187.59,187.59,5902404.0,0.0,1.0
2021-02-22,200.7,205.0,193.5,195.34,195.34,3653945.0,0.0,1.0
2021-02-19,203.95,205.55,200.18,201.07,201.07,2605751.0,0.0,1.0
2021-02-18,199.01,200.36,192.17,198.04,198.04,2791419.0,0.0,1.0
2021-02-17,207.05,208.765,196.02,201.96,201.96,3969207.0,0.0,1.0
2021-02-16,216.24,218.78,209.09,209.86,209.86,3487929.0,0.0,1.0
2021-02-12,214.4578,216.94,209.0,212.68,212.68,3041744.0,0.0,1.0
2021-02-11,213.5,219.94,207.0,216.84,216.84,3595183.0,0.0,1.0
2021-02-10,205.48,214.7163,202.097,211.66,211.66,5198126.0,0.0,1.0
2021-02-09,199.2033,209.22,196.16,199.88,199.88,4594786.0,0.0,1.0
2021-02-08,199.93,201.96,191.5001,200.43,200.43,3492593.0,0.0,1.0
2021-02-05,197.0,197.25,190.2501,195.31,195.31,2869659.0,0.0,1.0
2021-02-04,187.07,195.99,186.19,195.8,195.8,3637039.0,0.0,1.0
2021-02-03,181.98,190.9,180.0,185.72,185.72,4168965.0,0.0,1.0
2021-02-02,183.22,186.4794,177.11,179.17,179.17,4123554.0,0.0,1.0
2021-02-01,187.4803,188.82,179.74,180.44,180.44,3877389.0,0.0,1.0
2021-01-29,190.71,193.4999,179.31,183.63,183.63,4529815.0,0.0,1.0
2021-01-28,202.6,212.84,187.05,187.37,187.37,7077661.0,0.0,1.0
2021-01-27,187.64,216.0,185.5,201.25,201.25,11019787.0,0.0,1.0
2021-01-26,180.0,193.0,177.3,192.74,192.74,6460904.0,0.0,1.0
2021-01-25,186.05,192.47,170.03,177.53,177.53,7472859.0,0.0,1.0
2021-01-22,178.09,185.3066,175.19,181.87,181.87,7136811.0,0.0,1.0
2021-01-21,164.99,183.47,155.33,180.4,180.4,17618431.0,0.0,1.0
2021-01-20,176.01,176.31,161.0,161.83,161.83,8517416.0,0.0,1.0
2021-01-19,173.0,178.6,166.6001,173.69,173.69,4685415.0,0.0,1.0
2021-01-15,184.58,185.995,164.8601,169.27,169.27,8575682.0,0.0,1.0
2021-01-14,175.54,187.42,174.9754,180.5,180.5,9926539.0,0.0,1.0
2021-01-13,160.81,178.6199,159.35,169.99,169.99,12529711.0,0.0,1.0
2021-01-12,148.08,163.88,143.61,160.8,160.8,8110792.0,0.0,1.0
2021-01-11,147.99,150.5,144.02,148.13,148.13,2801867.0,0.0,1.0
2021-01-08,153.45,155.54,147.2501,149.77,149.77,4615625.0,0.0,1.0
2021-01-07,146.37,154.42,145.2614,151.27,151.27,4482769.0,0.0,1.0
2021-01-06,145.75,148.35,141.11,142.77,142.77,4213936.0,0.0,1.0
2021-01-05,138.28,149.0,137.25,148.3,148.3,5974246.0,0.0,1.0
2021-01-04,150.99,151.005,137.0,139.15,139.15,6409884.0,0.0,1.0
2020-12-31,146.9,147.89,144.51,146.8,146.8,2795813.0,0.0,1.0
2020-12-30,151.34,152.813,145.6,148.43,148.43,3462445.0,0.0,1.0
2020-12-29,150.0,151.6511,143.12,150.0,150.0,5402266.0,0.0,1.0
2020-12-28,158.6,163.64,147.52,149.0,149.0,6205197.0,0.0,1.0
2020-12-24,159.16,162.79,154.1124,154.84,154.84,3621360.0,0.0,1.0
2020-12-23,162.8137,168.25,155.5,158.01,158.01,5852486.0,0.0,1.0
2020-12-22,170.0,174.97,161.05,163.19,163.19,9886633.0,0.0,1.0
2020-12-21,155.31,172.0,145.11,163.02,163.02,17788120.0,0.0,1.0
2020-12-18,150.4497,159.0,150.3,157.3,157.3,15954235.0,0.0,1.0
2020-12-17,143.0,152.4499,142.67,147.05,147.05,15054725.0,0.0,1.0
2020-12-16,125.83,142.0,124.91,137.99,137.99,20409551.0,0.0,1.0
2020-12-15,126.69,127.6,121.5,124.8,124.8,10914432.0,0.0,1.0
2020-12-14,135.0,135.3,125.1601,130.0,130.0,16966089.0,0.0,1.0
2020-12-11,146.55,151.5,135.1,139.25,139.25,26980830.0,0.0,1.0
2020-12-10,146.0,165.0,141.25,144.71,144.71,70447537.0,0.0,1.0
