date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-02-25,136.18,138.69,128.4108,129.51,129.51,16229835.0,0.0,1.0
2021-02-24,138.44,140.22,134.5,138.32,138.32,15840247.0,0.0,1.0
2021-02-23,136.18,139.99,126.815,139.04,139.04,37538994.0,0.0,1.0
2021-02-22,149.72,150.93,143.25,143.78,143.78,16154470.0,0.0,1.0
2021-02-19,151.5,154.0,151.0,152.61,152.61,7901851.0,0.0,1.0
2021-02-18,149.0487,150.22,146.09,149.19,149.19,10989938.0,0.0,1.0
2021-02-17,153.49,153.51,147.46,152.17,152.17,13474061.0,0.0,1.0
2021-02-16,159.05,159.7,154.73,155.12,155.12,11148788.0,0.0,1.0
2021-02-12,153.88,156.6,152.01,156.58,156.58,6685566.0,0.0,1.0
2021-02-11,155.0,156.38,152.38,154.57,154.57,8839330.0,0.0,1.0
2021-02-10,157.2,157.91,150.46,153.1,153.1,14251412.0,0.0,1.0
2021-02-09,153.91,156.65,152.83,154.93,154.93,8028809.0,0.0,1.0
2021-02-08,152.05,153.89,151.45,153.31,153.31,8619009.0,0.0,1.0
2021-02-05,148.8,149.75,147.42,149.46,149.46,5591909.0,0.0,1.0
2021-02-04,147.93,148.5,146.9156,148.35,148.35,5259889.0,0.0,1.0
2021-02-03,148.63,148.7,145.42,146.11,146.11,6504229.0,0.0,1.0
2021-02-02,145.3,147.95,144.9301,146.89,146.89,7880438.0,0.0,1.0
2021-02-01,139.98,142.8,138.41,142.62,142.62,7828499.0,0.0,1.0
2021-01-29,139.86,141.18,135.0501,137.44,137.44,7195518.0,0.0,1.0
2021-01-28,138.57,141.84,138.14,140.37,140.37,5865365.0,0.0,1.0
2021-01-27,139.0639,142.5,135.17,138.35,138.35,10003893.0,0.0,1.0
2021-01-26,147.25,147.34,141.72,141.83,141.83,8106443.0,0.0,1.0
2021-01-25,148.5621,149.85,142.93,146.67,146.67,8570832.0,0.0,1.0
2021-01-22,144.1001,146.17,143.89,146.08,146.08,5714757.0,0.0,1.0
