date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-02-25,169.56,184.68,101.0,108.73,108.73,145443658.0,0.0,1.0
2021-02-24,44.7,91.71,44.7,91.71,91.71,48556520.0,0.0,1.0
2021-02-23,44.97,46.23,40.0,44.97,44.97,7565215.0,0.0,1.0
2021-02-22,46.69,48.51,42.4,46.0,46.0,18864590.0,0.0,1.0
2021-02-19,41.28,43.89,38.5,40.59,40.59,14828238.0,0.0,1.0
2021-02-18,48.49,48.87,40.65,40.69,40.69,23990555.0,0.0,1.0
2021-02-17,49.77,51.19,44.56,45.94,45.94,9147635.0,0.0,1.0
2021-02-16,52.66,53.5,49.04,49.51,49.51,8175030.0,0.0,1.0
2021-02-12,50.75,55.24,48.05,52.4,52.4,14573264.0,0.0,1.0
2021-02-11,50.01,55.32,48.2201,51.1,51.1,13056725.0,0.0,1.0
2021-02-10,50.77,62.83,46.55,51.2,51.2,35943280.0,0.0,1.0
2021-02-09,56.61,57.0,46.52,50.31,50.31,25598598.0,0.0,1.0
2021-02-08,72.41,72.66,58.02,60.0,60.0,25687282.0,0.0,1.0
2021-02-05,54.04,95.0,51.09,63.77,63.77,81345013.0,0.0,1.0
2021-02-04,91.19,91.5,53.33,53.5,53.5,62427275.0,0.0,1.0
2021-02-03,112.01,113.3999,85.25,92.41,92.41,42698511.0,0.0,1.0
2021-02-02,140.76,158.0,74.2201,90.0,90.0,76663691.0,0.0,1.0
2021-02-01,316.56,322.0,212.0,225.0,225.0,37382152.0,0.0,1.0
2021-01-29,379.71,413.98,250.0,325.0,325.0,49414294.0,0.0,1.0
2021-01-28,265.0,483.0,112.25,193.6,193.6,58815805.0,0.0,1.0
2021-01-27,354.83,380.0,249.0,347.51,347.51,90516825.0,0.0,1.0
2021-01-26,88.56,150.0,80.2,147.98,147.98,161894423.0,0.0,1.0
2021-01-25,96.73,159.18,61.13,76.79,76.79,177874000.0,0.0,1.0
2021-01-22,42.59,76.7573,42.32,65.01,65.01,194084194.0,0.0,1.0
2021-01-21,39.23,44.75,37.0,43.03,43.03,57079754.0,0.0,1.0
2021-01-20,37.37,41.1899,36.06,39.12,39.12,33471789.0,0.0,1.0
2021-01-19,41.55,45.52,36.64,39.36,39.36,74721924.0,0.0,1.0
2021-01-15,38.49,40.75,34.01,35.5,35.5,46866358.0,0.0,1.0
2021-01-14,38.09,43.06,33.05,39.91,39.91,93717410.0,0.0,1.0
2021-01-13,20.42,38.65,20.03,31.4,31.4,143530129.0,0.0,1.0
2021-01-12,19.96,20.4,19.3168,19.95,19.95,6999775.0,0.0,1.0
2021-01-11,19.41,20.65,19.01,19.94,19.94,14927612.0,0.0,1.0
2021-01-08,18.18,18.3,17.08,17.69,17.69,6481960.0,0.0,1.0
2021-01-07,18.47,19.45,18.02,18.08,18.08,6129276.0,0.0,1.0
2021-01-06,17.34,18.98,17.33,18.36,18.36,6056248.0,0.0,1.0
2021-01-05,17.35,18.0765,17.23,17.37,17.37,4961457.0,0.0,1.0
2021-01-04,19.0,19.1,17.15,17.25,17.25,10022474.0,0.0,1.0
2020-12-31,19.25,19.8,18.8,18.84,18.84,6922652.0,0.0,1.0
2020-12-30,19.38,20.0,18.85,19.26,19.26,5934391.0,0.0,1.0
2020-12-29,20.82,21.07,18.56,19.38,19.38,9241441.0,0.0,1.0
2020-12-28,21.31,21.97,20.35,20.99,20.99,8924279.0,0.0,1.0
2020-12-24,21.01,21.48,19.95,20.15,20.15,6262174.0,0.0,1.0
2020-12-23,20.17,22.3499,19.13,20.57,20.57,25830256.0,0.0,1.0
2020-12-22,16.22,20.04,16.15,19.46,19.46,30687718.0,0.0,1.0
2020-12-21,15.81,16.348,15.28,15.53,15.53,9876128.0,0.0,1.0
2020-12-18,15.78,16.3,15.18,15.63,15.63,16618776.0,0.0,1.0
2020-12-17,13.96,14.98,13.59,14.83,14.83,8194902.0,0.0,1.0
2020-12-16,13.96,14.305,13.58,13.85,13.85,5865123.0,0.0,1.0
2020-12-15,12.78,14.02,12.48,13.85,13.85,8192856.0,0.0,1.0
2020-12-14,13.34,13.4335,12.14,12.72,12.72,10007092.0,0.0,1.0
2020-12-11,13.91,14.0,13.02,13.31,13.31,7496868.0,0.0,1.0
2020-12-10,13.12,14.41,13.05,14.12,14.12,7558922.0,0.0,1.0
2020-12-09,13.92,14.73,13.225,13.66,13.66,24357944.0,0.0,1.0
2020-12-08,16.37,17.21,15.93,16.94,16.94,16120163.0,0.0,1.0
2020-12-07,17.0,17.5,16.22,16.35,16.35,7386258.0,0.0,1.0
2020-12-04,16.3,17.29,16.26,16.9,16.9,8972672.0,0.0,1.0
2020-12-03,16.48,16.64,15.87,16.12,16.12,6294965.0,0.0,1.0
2020-12-02,15.7,16.68,15.38,16.58,16.58,7883380.0,0.0,1.0
2020-12-01,17.11,17.4,15.76,15.8,15.8,12260810.0,0.0,1.0
2020-11-30,18.17,19.42,16.5575,16.56,16.56,31983498.0,0.0,1.0
