date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-02-25,25.82,26.44,23.15,23.96,23.96,158112847.0,0.0,1.0
2021-02-24,26.71,27.23,25.75,26.39,26.39,90095691.0,0.0,1.0
2021-02-23,25.96,27.46,23.9,26.75,26.75,145289437.0,0.0,1.0
2021-02-22,29.96,30.19,27.536,28.0,28.0,180782324.0,0.0,1.0
2021-02-19,27.02,29.96,26.9,29.0,29.0,320063732.0,0.0,1.0
2021-02-18,24.99,26.31,24.5,25.17,25.17,313175121.0,0.0,1.0
2021-02-17,27.99,29.73,27.0,27.08,27.08,146909893.0,0.0,1.0
2021-02-16,30.02,30.44,27.3,27.84,27.84,180294325.0,0.0,1.0
2021-02-12,33.36,33.65,31.34,31.91,31.91,60925593.0,0.0,1.0
2021-02-11,35.79,35.98,32.61,33.11,33.11,52094876.0,0.0,1.0
2021-02-10,38.15,38.24,35.0,35.7,35.7,44790352.0,0.0,1.0
2021-02-09,36.9,38.255,36.13,38.17,38.17,43848477.0,0.0,1.0
2021-02-08,37.22,39.22,35.89,36.05,36.05,72610624.0,0.0,1.0
2021-02-05,32.61,35.2,31.75,34.05,34.05,62375282.0,0.0,1.0
2021-02-04,32.58,33.18,31.05,32.05,32.05,31657211.0,0.0,1.0
2021-02-03,32.39,32.95,31.38,31.76,31.76,35311995.0,0.0,1.0
2021-02-02,34.1,34.2,30.5,31.02,31.02,69014637.0,0.0,1.0
2021-02-01,35.33,35.6199,32.58,33.96,33.96,43460896.0,0.0,1.0
2021-01-29,36.61,38.01,34.66,35.18,35.18,42030917.0,0.0,1.0
2021-01-28,39.54,42.0,33.1,35.66,35.66,85250675.0,0.0,1.0
2021-01-27,32.97,45.0,32.25,39.0,39.0,170758759.0,0.0,1.0
2021-01-26,35.14,36.87,34.32,35.37,35.37,65869976.0,0.0,1.0
2021-01-25,34.46,39.58,29.56,36.23,36.23,191345300.0,0.0,1.0
2021-01-22,25.85,32.65,25.82,32.58,32.58,156844666.0,0.0,1.0
