date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-02-25,390.41,391.88,380.7789,382.33,382.33,144712701.0,0.0,1.0
2021-02-24,386.33,392.23,385.27,391.77,391.77,72433946.0,0.0,1.0
2021-02-23,384.66,388.945,380.2,387.5,387.5,107284127.0,0.0,1.0
2021-02-22,387.06,389.62,386.74,387.03,387.03,66517089.0,0.0,1.0
2021-02-19,392.07,392.38,389.55,390.03,390.03,83240971.0,0.0,1.0
2021-02-18,389.59,391.515,387.74,390.72,390.72,59712773.0,0.0,1.0
2021-02-17,390.42,392.66,389.33,392.39,392.39,51746878.0,0.0,1.0
2021-02-16,393.96,394.17,391.53,392.3,392.3,50972366.0,0.0,1.0
2021-02-12,389.85,392.9,389.77,392.64,392.64,50593270.0,0.0,1.0
2021-02-11,391.24,391.69,388.1,390.71,390.71,42913288.0,0.0,1.0
2021-02-10,392.12,392.28,387.5,390.08,390.08,58362935.0,0.0,1.0
2021-02-09,389.61,390.89,389.17,390.25,390.25,34142633.0,0.0,1.0
2021-02-08,389.27,390.56,388.35,390.51,390.51,38365185.0,0.0,1.0
2021-02-05,388.2,388.47,386.1444,387.71,387.71,48669773.0,0.0,1.0
2021-02-04,382.96,386.24,381.9655,386.19,386.19,47142555.0,0.0,1.0
2021-02-03,382.435,383.7,380.48,381.85,381.85,52427090.0,0.0,1.0
2021-02-02,379.65,383.22,376.3181,381.55,381.55,62923781.0,0.0,1.0
2021-02-01,373.72,377.34,370.376,376.23,376.23,75817597.0,0.0,1.0
2021-01-29,375.63,376.67,368.27,370.07,370.07,126765121.0,0.0,1.0
2021-01-28,376.36,381.93,375.89,377.63,377.63,94198104.0,0.0,1.0
2021-01-27,380.22,380.32,372.01,374.41,374.41,123351078.0,0.0,1.0
2021-01-26,385.41,385.85,383.54,383.79,383.79,42665281.0,0.0,1.0
2021-01-25,383.67,384.77,378.46,384.39,384.39,70401971.0,0.0,1.0
2021-01-22,382.25,384.1256,381.835,382.88,382.88,52136931.0,0.0,1.0
2021-01-21,384.49,384.95,383.25,384.24,384.24,47955809.0,0.0,1.0
2021-01-20,381.11,384.79,380.69,383.89,383.89,61836062.0,0.0,1.0
2021-01-19,378.34,379.23,376.75,378.65,378.65,51233300.0,0.0,1.0
2021-01-15,376.72,377.58,373.7,375.7,375.7,107159962.0,0.0,1.0
2021-01-14,380.59,381.13,378.1,378.46,378.46,49989113.0,0.0,1.0
2021-01-13,378.69,380.86,377.85,379.79,379.79,45303619.0,0.0,1.0
2021-01-12,378.89,379.86,376.36,378.77,378.77,51440114.0,0.0,1.0
2021-01-11,377.85,380.58,377.7189,378.69,378.69,51176719.0,0.0,1.0
2021-01-08,380.59,381.49,377.1,381.26,381.26,71677208.0,0.0,1.0
2021-01-07,376.1,379.9,375.91,379.1,379.1,68766812.0,0.0,1.0
2021-01-06,369.71,376.98,369.12,373.55,373.55,107997675.0,0.0,1.0
2021-01-05,368.1,372.5,368.05,371.33,371.33,66426229.0,0.0,1.0
2021-01-04,375.31,375.45,364.82,368.79,368.79,110210810.0,0.0,1.0
2020-12-31,371.78,374.66,371.232,373.88,373.88,78520702.0,0.0,1.0
2020-12-30,372.34,373.1,371.57,371.99,371.99,49455259.0,0.0,1.0
2020-12-29,373.81,374.0,370.83,371.46,371.46,53680451.0,0.0,1.0
2020-12-28,371.74,372.59,371.07,372.17,372.17,37932709.0,0.0,1.0
2020-12-24,368.08,369.03,367.45,369.0,369.0,26457853.0,0.0,1.0
2020-12-23,368.28,369.62,367.2172,367.57,367.57,46201402.0,0.0,1.0
2020-12-22,368.21,368.3317,366.03,367.24,367.24,48388462.0,0.0,1.0
2020-12-21,364.97,378.46,362.03,367.86,367.86,96386745.0,0.0,1.0
2020-12-18,370.97,371.15,367.02,369.18,369.18,136542328.0,1.58,1.0
2020-12-17,371.94,372.46,371.05,372.24,370.653692955,64119472.0,0.0,1.0
2020-12-16,369.82,371.16,368.8676,370.17,368.592514295,58420517.0,0.0,1.0
2020-12-15,367.4,369.59,365.92,369.59,368.014985975,64071099.0,0.0,1.0
2020-12-14,368.64,369.8,364.47,364.66,363.105995253,69216174.0,0.0,1.0
2020-12-11,364.9,366.7402,363.26,366.3,364.739006365,57698614.0,0.0,1.0
2020-12-10,365.37,367.86,364.43,366.73,365.167173913,57735353.0,0.0,1.0
2020-12-09,370.88,371.05,365.95,366.85,365.286662531,74098312.0,0.0,1.0
2020-12-08,367.72,370.78,367.67,370.17,368.592514295,42458859.0,0.0,1.0
2020-12-07,369.02,369.62,367.72,369.09,367.517116733,48944269.0,0.0,1.0
2020-12-04,367.32,369.85,367.22,369.85,368.27387798,50749859.0,0.0,1.0
2020-12-03,366.68,368.19,365.5,366.69,365.127344374,62881998.0,0.0,1.0
2020-12-02,364.82,366.96,364.2,366.79,365.226918222,45927000.0,0.0,1.0
2020-12-01,365.57,367.68,364.93,366.02,364.46019959,72509670.0,0.0,1.0
2020-11-30,362.83,363.12,359.17,362.06,360.517075197,83872709.0,0.0,1.0
2020-11-27,363.84,364.18,362.58,363.67,362.120214155,28514072.0,0.0,1.0
2020-11-25,363.13,363.16,361.48,362.66,361.114518287,45330890.0,0.0,1.0
2020-11-24,360.21,363.81,359.29,363.22,361.672131837,60985003.0,0.0,1.0
2020-11-23,357.28,358.82,354.865,357.46,355.936678175,63230608.0,0.0,1.0
2020-11-20,357.5,357.72,355.25,355.33,353.815755206,70411890.0,0.0,1.0
2020-11-19,355.6,358.18,354.15,357.78,356.255314489,59940947.0,0.0,1.0
2020-11-18,360.91,361.5,356.24,356.28,354.761706764,70591299.0,0.0,1.0
2020-11-17,359.97,361.92,358.34,360.62,359.083211781,66111009.0,0.0,1.0
2020-11-16,360.98,362.78,359.59,362.57,361.024901823,74541138.0,0.0,1.0
2020-11-13,355.27,358.9,354.71,358.1,356.573950804,62959429.0,0.0,1.0
2020-11-12,355.58,356.7182,351.26,353.21,351.704789621,68118563.0,0.0,1.0
2020-11-11,356.4,357.56,355.06,356.67,355.150044773,58649048.0,0.0,1.0
2020-11-10,353.49,355.18,350.51,354.04,352.531252562,85552022.0,0.0,1.0
2020-11-09,363.97,364.38,354.06,354.56,353.049036574,172304203.0,0.0,1.0
2020-11-06,349.93,351.51,347.65,350.16,348.667787248,74972973.0,0.0,1.0
2020-11-05,349.24,352.19,348.86,350.24,348.747446326,82039749.0,0.0,1.0
2020-11-04,340.86,347.94,339.59,343.54,342.07599849,126959700.0,0.0,1.0
2020-11-03,333.69,338.25,330.2935,336.03,334.598002481,93294192.0,0.0,1.0
2020-11-02,330.2,332.36,327.24,330.2,328.792847125,86068299.0,0.0,1.0
2020-10-30,328.28,329.69,322.6,326.54,325.148444277,120448685.0,0.0,1.0
2020-10-29,326.91,333.395,325.09,329.98,328.573784659,90597689.0,0.0,1.0
2020-10-28,332.1,338.2483,326.13,326.66,325.267932895,127094307.0,0.0,1.0
2020-10-27,339.76,340.12,337.99,338.22,336.778669759,65994108.0,0.0,1.0
2020-10-26,342.13,342.98,335.62,339.39,337.943683785,91473002.0,0.0,1.0
2020-10-23,345.93,345.99,343.13,345.78,344.306452692,49143931.0,0.0,1.0
2020-10-22,342.96,345.24,340.65,344.61,343.141438667,55399292.0,0.0,1.0
2020-10-21,343.33,348.6847,342.4,342.73,341.269450318,63574979.0,0.0,1.0
2020-10-20,343.46,346.88,342.64,343.38,341.916680332,60051880.0,0.0,1.0
2020-10-19,348.65,349.33,341.04,342.01,340.55251861,68425614.0,0.0,1.0
2020-10-16,348.96,350.75,347.1,347.29,345.810017801,89501868.0,0.0,1.0
2020-10-15,343.71,348.02,343.13,347.5,346.019122883,60357659.0,0.0,1.0
2020-10-14,350.75,351.93,347.14,347.93,346.44729043,57958749.0,0.0,1.0
2020-10-13,352.28,352.4651,349.09,350.13,348.637915093,73255513.0,0.0,1.0
