date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2021-02-25,54.58,54.6,50.86,51.45,51.45,26926862.0,0.0,1.0
2021-02-24,54.95,55.15,53.66,53.91,53.91,24626966.0,0.0,1.0
2021-02-23,53.5,56.37,51.89,56.0,56.0,23947540.0,0.0,1.0
2021-02-22,57.76,58.1,54.8157,55.31,55.31,25471783.0,0.0,1.0
2021-02-19,58.36,60.4572,58.113,58.39,58.39,28097000.0,0.0,1.0
2021-02-18,60.0,60.29,58.23,59.0,59.0,15135647.0,0.0,1.0
2021-02-17,60.33,60.95,58.95,60.81,60.81,12382652.0,0.0,1.0
2021-02-16,61.02,61.31,59.84,60.52,60.52,15413075.0,0.0,1.0
2021-02-12,60.12,60.93,59.315,60.63,60.63,14607832.0,0.0,1.0
2021-02-11,63.25,64.05,60.395,60.71,60.71,41363413.0,0.0,1.0
2021-02-10,62.0,63.5,60.8,63.18,63.18,33592908.0,0.0,1.0
2021-02-09,58.91,61.06,58.62,59.61,59.61,22435533.0,0.0,1.0
2021-02-08,59.7,60.11,58.69,59.29,59.29,18410638.0,0.0,1.0
2021-02-05,58.16,58.7075,57.37,58.58,58.58,15729172.0,0.0,1.0
2021-02-04,56.45,57.85,56.11,57.85,57.85,13847255.0,0.0,1.0
2021-02-03,57.87,58.13,56.74,57.12,57.12,13519011.0,0.0,1.0
2021-02-02,55.11,58.03,54.89,56.46,56.46,29966896.0,0.0,1.0
2021-02-01,52.12,52.9,51.35,52.76,52.76,15570904.0,0.0,1.0
2021-01-29,50.63,51.4899,49.635,50.93,50.93,18743234.0,0.0,1.0
2021-01-28,50.12,52.52,49.88,51.58,51.58,28114698.0,0.0,1.0
2021-01-27,49.97,50.86,47.15,48.11,48.11,33283424.0,0.0,1.0
2021-01-26,54.62,55.52,51.53,51.92,51.92,25677017.0,0.0,1.0
2021-01-25,54.5,54.52,49.65,54.29,54.29,40890094.0,0.0,1.0
2021-01-22,55.25,55.47,54.01,54.31,54.31,19570506.0,0.0,1.0
2021-01-21,56.57,57.0,55.3136,55.79,55.79,13432029.0,0.0,1.0
2021-01-20,57.0,57.98,55.47,56.38,56.38,16904343.0,0.0,1.0
2021-01-19,56.39,56.8424,55.0,56.3,56.3,16953659.0,0.0,1.0
2021-01-15,57.49,57.9,55.0,55.52,55.52,23708804.0,0.0,1.0
2021-01-14,60.0,60.03,56.7,56.91,56.91,26561002.0,0.0,1.0
2021-01-13,58.54,59.88,57.53,59.4,59.4,24178501.0,0.0,1.0
2021-01-12,55.5,59.39,55.0,58.54,58.54,52055609.0,0.0,1.0
2021-01-11,53.11,55.0,52.99,54.59,54.59,23213840.0,0.0,1.0
2021-01-08,54.395,54.79,52.58,53.28,53.28,37999442.0,0.0,1.0
2021-01-07,53.37,56.25,53.2,56.13,56.13,23737543.0,0.0,1.0
2021-01-06,53.31,54.07,52.0,52.48,52.48,17738115.0,0.0,1.0
2021-01-05,51.0,54.19,50.76,54.01,54.01,21403169.0,0.0,1.0
2021-01-04,52.22,52.32,49.635,51.14,51.14,17291804.0,0.0,1.0
2020-12-31,53.28,53.28,51.0,51.0,51.0,13282786.0,0.0,1.0
2020-12-30,52.72,53.85,52.22,53.15,53.15,9518600.0,0.0,1.0
2020-12-29,52.33,52.99,51.47,52.27,52.27,10140561.0,0.0,1.0
2020-12-28,53.02,53.13,51.56,51.97,51.97,11987681.0,0.0,1.0
2020-12-24,53.6,53.625,52.29,52.88,52.88,6316761.0,0.0,1.0
2020-12-23,53.8,54.09,52.99,53.71,53.71,12671105.0,0.0,1.0
2020-12-22,52.11,54.36,51.92,53.78,53.78,23885275.0,0.0,1.0
2020-12-21,49.0,52.35,48.79,51.8,51.8,23562858.0,0.0,1.0
2020-12-18,50.81,50.95,49.52,50.62,50.62,24355167.0,0.0,1.0
2020-12-17,50.59,51.3,50.17,50.63,50.63,19688316.0,0.0,1.0
2020-12-16,51.18,51.68,50.29,50.49,50.49,19577759.0,0.0,1.0
2020-12-15,52.12,52.825,50.87,51.0,51.0,17504739.0,0.0,1.0
2020-12-14,53.27,53.44,51.24,51.46,51.46,19048536.0,0.0,1.0
2020-12-11,54.47,55.025,52.33,52.63,52.63,16817870.0,0.0,1.0
2020-12-10,52.33,54.62,51.3,54.35,54.35,20207664.0,0.0,1.0
2020-12-09,53.98,56.02,53.06,53.79,53.79,46777880.0,0.0,1.0
2020-12-08,52.4,54.22,52.35,53.01,53.01,26167347.0,0.0,1.0
2020-12-07,54.59,54.87,53.65,53.8,53.8,13764431.0,0.0,1.0
2020-12-04,52.71,54.86,52.71,54.86,54.86,22207887.0,0.0,1.0
2020-12-03,53.3,53.49,52.12,52.52,52.52,13122394.0,0.0,1.0
2020-12-02,49.26,53.45,48.53,53.09,53.09,30381462.0,0.0,1.0
2020-12-01,50.0,51.41,49.07,49.63,49.63,19764751.0,0.0,1.0
2020-11-30,50.22,51.005,48.53,49.66,49.66,17221543.0,0.0,1.0
2020-11-27,50.93,51.19,50.2,50.72,50.72,8339157.0,0.0,1.0
2020-11-25,51.27,51.45,49.92,50.8,50.8,11641561.0,0.0,1.0
2020-11-24,50.62,52.15,50.4838,51.26,51.26,16123767.0,0.0,1.0
2020-11-23,48.66,50.88,48.51,50.04,50.04,17147060.0,0.0,1.0
2020-11-20,49.98,50.75,48.27,48.43,48.43,17330366.0,0.0,1.0
2020-11-19,49.1,49.91,48.65,49.26,49.26,13480257.0,0.0,1.0
2020-11-18,48.77,49.95,48.33,49.11,49.11,17783508.0,0.0,1.0
2020-11-17,48.72,49.62,48.5,48.89,48.89,16638334.0,0.0,1.0
2020-11-16,48.74,50.09,48.48,49.21,49.21,29301713.0,0.0,1.0
2020-11-13,47.11,47.79,45.93,47.61,47.61,15569906.0,0.0,1.0
2020-11-12,45.39,47.47,45.05,46.4,46.4,16255467.0,0.0,1.0
2020-11-11,46.72,47.52,45.91,46.23,46.23,19213685.0,0.0,1.0
2020-11-10,46.74,49.36,46.045,47.0,47.0,33079784.0,0.0,1.0
2020-11-09,48.01,49.62,47.3,48.18,48.18,61632340.0,0.0,1.0
2020-11-06,42.09,45.38,41.62,44.87,44.87,57670672.0,0.0,1.0
2020-11-05,40.33,42.05,40.01,41.96,41.96,34177623.0,0.0,1.0
2020-11-04,40.66,42.15,39.0,40.99,40.99,101818168.0,0.0,1.0
2020-11-03,35.27,36.15,35.15,35.77,35.77,16208783.0,0.0,1.0
2020-11-02,34.15,35.05,34.06,34.81,34.81,18350453.0,0.0,1.0
2020-10-30,33.91,34.3903,33.155,33.41,33.41,13508512.0,0.0,1.0
2020-10-29,33.71,34.935,33.33,34.06,34.06,13735346.0,0.0,1.0
2020-10-28,33.62,33.66,32.9,33.65,33.65,15787858.0,0.0,1.0
2020-10-27,35.51,35.7,34.02,34.16,34.16,13692117.0,0.0,1.0
2020-10-26,36.5,36.74,35.12,35.49,35.49,12511721.0,0.0,1.0
2020-10-23,36.5,36.99,35.9238,36.75,36.75,15960599.0,0.0,1.0
2020-10-22,35.42,36.89,34.9146,36.7,36.7,14243611.0,0.0,1.0
2020-10-21,36.25,36.25,34.8751,35.2,35.2,19058727.0,0.0,1.0
2020-10-20,34.53,36.76,34.53,36.31,36.31,29820702.0,0.0,1.0
2020-10-19,34.16,34.59,34.0,34.22,34.22,19278584.0,0.0,1.0
2020-10-16,34.78,34.8,33.61,33.72,33.72,14904333.0,0.0,1.0
2020-10-15,34.68,34.81,34.02,34.26,34.26,15449850.0,0.0,1.0
2020-10-14,35.69,36.09,35.075,35.11,35.11,15402925.0,0.0,1.0
2020-10-13,36.22,36.23,35.02,35.56,35.56,15463089.0,0.0,1.0
2020-10-12,37.56,37.56,36.175,36.26,36.26,16569415.0,0.0,1.0
2020-10-09,37.91,38.35,37.19,37.27,37.27,13172028.0,0.0,1.0
2020-10-08,37.0,37.83,36.96,37.34,37.34,12212370.0,0.0,1.0
2020-10-07,36.59,37.11,36.365,36.78,36.78,13782136.0,0.0,1.0
2020-10-06,37.17,37.37,36.04,36.26,36.26,13074679.0,0.0,1.0
2020-10-05,37.7,38.0,36.88,37.14,37.14,13093069.0,0.0,1.0
2020-10-02,36.0,37.99,35.94,37.72,37.72,20123445.0,0.0,1.0
